kommune_navn,fylke,målform,kommune_nr,from_url,pdf_link
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i484874f6-e931-47bd-87fa-686980dedc9e/retningslinjer-soknad-om-nedsettelse-og-ettergivelse-av-eiendomsskatt-arendal-kommune.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/hjemmetjenester1/,https://www.bamble.kommune.no/globalassets/organisasjon/velferd/rehab/henvisningskjema-ergo-fysio-voksne-2014.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/,https://www.bamble.kommune.no/contentassets/3749be1eeb1b48d289097530ce344bf6/reglement-for-folkevalgte-organer-og-delegasjon_bamble-kommune-_valgperioden-2023-2027.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/ie739f15a-ac23-46ba-b438-6e90f35db915/takseringsretningslinjer-2021.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/hjemmetjenester1/,https://www.bamble.kommune.no/globalassets/organisasjon/velferd/rehab/henvisningskjema-fysio-ergo-barn-2014.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/politikk-og-medvirkning/kommunens-planer/ny-kommuneplan-samfunnsdel/,https://www.arendal.kommune.no/_f/p1/ib61698c8-838c-4d54-b096-e982447b947f/planstrategi-2024-2028-og-planprogram-kommuneplanens-samfunnsdel-2024-2034.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/idb545233-9342-42d0-abab-176047968a8f/sonekart-bolig-eiendomsskatt-arendal-kommune.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/tjenester/naring-bevilling-og-skatt/eiendomsgebyrer/eiendomsskatt/,https://www.arendal.kommune.no/_f/p1/i3ca40b6a-3320-49e8-b4b8-159a2f3ac051/sonekart-fritid-eiendomsskatt-arendal-kommune.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/politikk-og-medvirkning/kommunens-planer/ny-kommuneplan-samfunnsdel/,https://www.arendal.kommune.no/_f/p1/i7c3c522d-636d-4141-ba45-b1cd5e193c65/viktige-utviklingstrekk-for-arendal-kommune-2024.pdf
Arendal,Agder,bokmål,4203,https://www.arendal.kommune.no/politikk-og-medvirkning/kommunens-planer/ny-kommuneplan-samfunnsdel/,https://www.arendal.kommune.no/_f/p1/i911e07e1-fd02-49a2-8b29-7d094ab00ec3/vi-vil-gjerne-hore-din-mening.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/bamble-helsehus/,https://www.bamble.kommune.no/contentassets/95e57258a7c34ae4ad434af29d96334b/brosjyre_dagavdelingen.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/bamble-helsehus/,https://www.bamble.kommune.no/contentassets/be26749534654cd5bbe35ad824b474af/bamble-kommunes-kreftkoordinator2.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/bamble-helsehus/,http://testbamble.sk-asp.net/PageFiles/4936/Bamble%20kommunes%20kreftkoordinator.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/bolig/omsorgsboliger/omsorgsbolig-med-heldognsomsorg/,https://www.bamble.kommune.no/globalassets/organisasjon/velferd/omsorgsboliger/krogshavn-omsorgssenter/krogshavn-omsorgsenter.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/bamble-helsehus/,https://www.bamble.kommune.no/globalassets/organisasjon/velferd/legevakt/treningstilbud-rev-080914.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/helsestasjon/,https://www.bamble.kommune.no/contentassets/4685e09de6ac4760adaba400b1dbe265/helsestasjon-barn-0-5-ar-ny-2023.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/Elektroniskeskjema/soknadsskjema-ho/,https://www.bamble.kommune.no/contentassets/22a67430d30345b4b93ad125e2e9a0fc/soknadsskjema-ho--redigert-13.3.24.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/Elektroniskeskjema/soknadsskjema-ho/,https://www.bamble.kommune.no/contentassets/a791e86eaceb4fd8b758c28c046f6ec1/soknad-om-kommunal-bolig---bamble-kommune.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/Elektroniskeskjema/soknadsskjema-ho/,https://www.helsedirektoratet.no/brosjyrer/informasjon-om-helse-og-omsorgstjenester-i-kommunalt-pasient-og-brukerregister-fra-iplos-til-kpr/Informasjon%20om%20helse-%20og%20omsorgstjenester%20i%20Kommunalt%20pasient-%20og%20brukerregister%20%E2%80%93%20Fra%20IPLOS%20til%20KPR%20-%20bokm%C3%A5l.pdf/_/attachment/inline/ef50ba49-7af5-4afc-a493-7257d2ff8880:3080727f19f722021f1b2265171dca4415c272e0/Informasjon%20om%20helse-%20og%20omsorgstjenester%20i%20Kommunalt%20pasient-%20og%20brukerregister%20%E2%80%93%20Fra%20IPLOS%20til%20KPR%20-%20bokm%C3%A5l.pdf
Alstahaug,Nordland,nøytral,1820,https://www.alstahaug.kommune.no/for-naeringslivet.178840.no.html,https://www.alstahaug.kommune.no/getfile.php/1917651.1880.etbdpfaupp/Norsk-sokkel-nr-1-2012-small.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/Elektroniskeskjema/soknadsskjema-ho/,https://www.bamble.kommune.no/globalassets/organisasjon/kultur-og-oppvekst/oppvekst/tjenestekontoret-for-barn-og-unge/soknadsskjema_revidert_27.11.12.pdf
Bamble,Telemark,nøytral,4012,https://www.bamble.kommune.no/helse-og-omsorg/velferd/test/,https://www.bamble.kommune.no/contentassets/e3629de7d9564d3b807552314474c552/hverdagsrehabilitering-2022-2610.pdf
